distance,S1,S2,S3,S4,S5,S6,S7,S8
-40,1281,573,526,434,526,549,549,818
-36,2500,620,526,435,526,550,550,832
-32,1667,972,526,435,526,550,550,831
-28,1113,1373,503,435,527,550,550,831
-24,690,2083,666,434,531,549,549,831
-20,689,1112,1112,434,531,549,549,830
-16,689,689,2272,503,549,549,549,831
-12,689,572,1421,735,548,548,548,830
-8,670,577,830,1255,526,549,549,811
-4,665,572,549,1435,665,549,544,807
0,665,572,548,782,1066,548,548,825
4,666,572,526,503,1942,596,549,831
8,666,573,526,434,1444,901,549,830
12,666,573,526,434,830,1586,549,830
16,666,573,526,435,550,2083,690,812
20,666,573,526,435,550,1042,1160,807
24,666,573,526,435,526,713,1965,855
28,667,573,526,434,535,550,1539,1279
32,667,573,526,435,526,550,761,2500
36,668,573,526,434,526,550,526,2500
40,668,573,526,435,540,550,550,1449
